Gene name,Ctrl,iNOA_B,iNOA_S,AZFc_Del,KS
GAS1,1.0,0.044,0.0,0.121,0.019
CDON,1.0,0.13,0.177,0.42,0.0
BOC,1.0,0.024,0.0,0.238,0.695
HHIP,0.639,1.0,0.743,0.615,0.0
DHH,0.0,0.439,0.053,1.0,0.035
