celltype,n_cells,mean_knn_purity,mean_knn_entropy,silhouette_group,obs_stage_entropy_within_stageNN,perm_entropy_mean,perm_entropy_sd,p_perm_entropy_low,pseudotime_median,pseudotime_q10,pseudotime_q90
SSCs,1429,0.3187777000233263,0.7883954385433523,-0.2285953949730081,0.6580236842122126,0.8674807041991538,0.004157161576124,0.0,0.1,0.1,0.3
SPGs,1429,0.3074644273384651,0.7938647707393938,-0.2798462270897938,0.6775971668286751,0.9311112889898284,0.0035358345591211,0.0,0.2,0.1,1.0
Early_primary_SPCs,1429,0.3108234196407744,0.7699291799948922,-0.0728959964907242,0.7605697201197275,0.9094239975037598,0.0041527087520822,0.0,1.4,0.2,2.1
Late_primary_SPCs,1429,0.3530440867739677,0.6931114801175104,-0.1819194274467229,0.6579690559780185,0.9084213891110964,0.0046434348614156,0.0,3.1,2.4,4.8
Round_Spermatids,1429,0.380639141590856,0.6304731727001698,-0.1143626325657547,0.5484984532068765,0.7224860127346144,0.0049578068874139,0.0,6.4,4.4,9.7
Elongated_Spermatids,1429,0.6254257056216469,0.4881490417971688,-0.4069597962996411,0.1301196152597427,0.2468687238846579,0.0066277820431821,0.0,4.4,4.1,6.4
Sperm,1429,0.3557032890132959,0.6752368422121943,-0.1978366735437119,0.7485224871172367,0.9088730838495772,0.0040356545103496,0.0,9.5,7.9,9.8
