celltype,mean_entropy,ci_lo,ci_hi,n_samples
SSCs,0.6909414353226377,0.6203475981407917,0.7635469136618999,11
SPGs,0.7358969584257415,0.699928612722753,0.7678728512447024,11
Early_primary_SPCs,0.7921997218106399,0.748654316063332,0.8319396833005696,11
Late_primary_SPCs,0.7452593438212828,0.7161914588323747,0.7700333383751878,9
