stage,comparison,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
Round_Spermatids,CtrlvsKS,HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,159,0.656984664016855,1.6777777139099,4.02142144732159e-05,0.0004285390265136,0.0002255468560598,3972,"tags=38%, list=11%, signal=34%",IFITM3/GPX3/TIMP3/CAV1/HSPB1/TXNIP/DCN/TIMP1/GADD45B/GSN/SOD1/JUN/LGALS3/SAT1/DNAJC3/RHOB/GPX1/BGN/NEDD9/ETF1/CTNNB1/TSPO/IGFBP6/BTG2/BCAP31/PTK2/TNFSF10/IRF1/ANXA1/HGF/SPTAN1/ROCK1/BNIP3L/CDKN1A/IFNGR1/PPT1/GADD45A/APP/LUM/TGFBR3/CFLAR/FEZ1/LMNA/CCND2/PDCD4/SOD2/CASP3/CD44/CCND1/DNM1L/EMP1/CDKN1B/ATF3/CTH/FAS/MCL1/ADD1/CASP2/XIAP/MMP2
Round_Spermatids,CtrlvsAZFc_Del,HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,159,0.736108339361387,1.9259273262124,8.72396992048043e-08,8.72396992048043e-07,2.93860039426709e-07,3892,"tags=41%, list=10%, signal=37%",IFITM3/TIMP3/GPX3/HSPB1/CAV1/DCN/TXNIP/TIMP1/GADD45B/GSN/SOD1/LGALS3/JUN/BGN/RHOB/SAT1/IGFBP6/NEDD9/TSPO/SPTAN1/LMNA/BTG2/BCAP31/CTNNB1/GPX4/GPX1/TNFSF10/ADD1/APP/ROCK1/ANXA1/ETF1/MCL1/CDKN1A/FEZ1/IRF1/FAS/GADD45A/HGF/BNIP3L/LUM/ENO2/CCND2/CCND1/IFNGR1/ATF3/PDGFRB/EMP1/MMP2/TGFBR3/CASP3/CD44/CREBBP/HMGB2/CTH/F2R/XIAP/CASP2/CDKN1B/VDAC2/PPT1/RARA/BTG3/SOD2/DNM1L
