sample_id,group,entropy_early,entropy_late,delta_entropy,weight_ncells
AZFc_Del_2,AZFc_Del,0.8325432368211095,0.669725604688694,-0.1628176321324155,269
AZFc_Del_3,AZFc_Del,0.8024067228921867,0.7741779716514204,-0.0282287512407662,333
Ctrl_1,Ctrl,0.7832512538820507,0.745069532028807,-0.0381817218532437,257
Ctrl_3,Ctrl,0.6424926537616403,0.7120608115236791,0.0695681577620387,433
KS_2,KS,0.8229007852497987,0.734052728609271,-0.0888480566405277,284
OA_3,OA,0.8173416373989086,0.6076737644249641,-0.2096678729739445,342
OA_4,OA,0.8348518112543963,0.6295166297941903,-0.205335181460206,239
iNOA_B,iNOA_B,0.8057784652642145,0.6725847986279538,-0.1331936666362606,410
