ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
KS,GO:0198738,cell-cell signaling by wnt,69/1278,446/18723,1.20E-10,9.66E-08,7.61E-08,EGR1/IGFBP6/MDK/KLF4/NDRG2/CPE/PLPP3/APOE/RSPO3/IGFBP4/TSKU/ADGRA2/LRP1/ILK/FGF10/APP/RACK1/SFRP4/EMD/PTEN/PFDN5/DDIT3/HIC1/TGFB1I1/DIXDC1/SNAI2/GPRC5B/MYOC/FZD3/RBMS3/MDFI/YAP1/ZNF703/PKD1/APCDD1/DAAM2/CTDNEP1/PLEKHA4/XIAP/FZD1/CUL3/ZBED3/BCL9L/LZTS2/TBL1XR1/FZD2/SIAH2/VGLL4/FGF2/CSNK1E/COL1A1/RNF146/EGFR/FOXO3/MITF/GSK3A/WWTR1/RNF220/DVL3/AMFR/SMAD3/MACF1/TMEM9/DKK3/ABL1/AMOTL1/PYGO1/ZRANB1/TCF7L2,69
KS,GO:0030055,cell-substrate junction,66/1324,425/19550,1.91E-10,3.09E-08,2.55E-08,PPIB/HSPA1A/GSN/HSPA1B/VIM/CD81/LAYN/LRP1/PDGFRB/ILK/RHOB/CD99/CSRP1/ENG/GNB2/SVIL/P4HB/ZFYVE21/SORBS3/RRAS/PPIA/EFS/TNS2/DDR2/AHNAK/TGFB1I1/SNTB2/SLC9A3R2/DIXDC1/MAP2K2/TRIOBP/MRC2/HSPG2/MARCKS/MAPK3/TRIP6/CD99L2/FLRT2/FLII/THY1/CAP1/ANXA5/FZD1/CD151/FLNA/ITGAV/PLEC/FZD2/CALR/PPP1CC/HSPB1/LIMS1/CAPN1/LASP1/NCKAP1/CDC42EP1/EGFR/PCBP2/FHL3/PRKAR2A/PDLIM7/TNS1/PXN/NRP1/MPRIP/PHLDB2,66
KS,GO:0003712,transcription coregulator activity,74/1312,489/18368,5.59E-10,1.94E-07,1.67E-07,HSPA1A/DNAJB1/ARL2BP/BTG1/JAZF1/RBPMS/RALY/RBFOX2/PHB/SRSF2/HNRNPU/SMARCA2/TRIM28/PFDN5/TGFB1I1/MTDH/NCOR2/BTG2/FUS/BUD31/PQBP1/TRIM8/USP22/CTBP2/SAP30/IRF2BP2/SAP30L/YAP1/PSIP1/NUCKS1/KAT8/SPEN/MED30/PRMT5/ZFPM2/KAT5/ZMIZ1/CITED2/PA2G4/CREBBP/ATN1/TAF6/SMARCB1/BCL9L/TBL1XR1/LDB2/ARID1B/SMARCD2/HMGB2/SIAH2/SERTAD2/EID1/EDF1/DRAP1/ZBED1/JMJD1C/HDAC7/FGF2/IRF2BPL/PMF1/RCOR1/FHL3/RYBP/FHL5/AIP/WWTR1/PXN/TOB2/HDAC3/ABL1/KAT6B/KAT2A/TRIM22/UBE3A,74
KS,GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,53/1312,299/18368,6.19E-10,1.94E-07,1.67E-07,JUN/FOS/ID2/KLF4/TCF21/HES1/JUND/NFKBIA/NR4A1/CEBPB/AR/ATF4/HSF1/PRRX1/TGFB1I1/NOTCH2/MTDH/NCOR2/FUS/BUD31/TCF23/BHLHE41/SP3/CTBP2/TRIP6/NR1H2/SPEN/MED30/ZFPM2/CITED2/CREBBP/TAF6/PHB2/ZBTB7A/SMARCB1/BHLHE40/CALR/NFE2L2/HSPB1/JMJD1C/GATA4/ZNHIT3/CHD4/HDAC5/YWHAH/AIP/TOB2/SMAD3/STAT5B/HDAC3/DDRGK1/ANXA4/TCF7L2,53
KS,GO:0006979,response to oxidative stress,67/1278,446/18723,7.96E-10,5.63E-07,4.43E-07,JUN/SELENOP/FOS/HSPA1A/PENK/HSPA1B/KLF4/APOE/PRDX1/KLF2/BTG1/PRDX2/PDGFRB/RHOB/CYP1B1/PRNP/PDGFRA/MMP2/SOD3/BAD/RBPMS/EEF2/APP/CYGB/RACK1/ATF4/FBLN5/HSF1/P4HB/HNRNPM/PPIA/PINK1/PCGF2/NFE2L1/ZNF580/CHCHD2/SIGMAR1/MAPK3/STAT6/NET1/DUSP1/ENDOG/PSIP1/NOL3/AKR1C3/SELENOK/HMOX1/TRAP1/HGF/MSRB2/PDK2/NFE2L2/HSPB1/GATA4/COL1A1/EGFR/FOXO3/SESN3/ERCC1/BECN1/PXN/KEAP1/SFPQ/PML/TPM1/ABL1/UBE3A,67
,,,,,,,,,
iNOA_S,GO:0062023,collagen-containing extracellular matrix,76/995,425/19550,3.90E-22,2.30E-19,1.96E-19,ANGPTL1/SERPINE2/DCN/COL15A1/OGN/COL1A2/FGF10/LTBP4/COL6A2/MDK/TIMP2/LGALS1/CILP/PCOLCE/IGFBP7/FN1/MMP2/LUM/DPT/COL1A1/LAMA4/OMD/COL6A3/COL3A1/ANXA2/LAMC3/SFRP1/SPARC/S100A4/PTN/FBLN5/ANXA5/VCAN/LGALS3BP/LAMA2/ENTPD2/TIMP1/CXCL12/COL6A1/NID1/ADAMTS1/LAMB2/COL14A1/ANGPTL5/COL5A1/CCDC80/ITIH5/LAMC1/TGFB3/TIMP3/SERPINH1/SPARCL1/APOA1/EFEMP2/SMOC1/VIT/COL12A1/ADAMTS5/SERPING1/FBN1/COL4A5/CLEC3B/MFGE8/CTSC/CTSF/MGP/PLSCR1/PODN/ECM1/EMILIN1/ANGPTL4/ADAMTS3/LTBP3/HSP90B1/DLG1/AEBP1,76
iNOA_S,GO:0001503,ossification,67/958,408/18723,1.58E-17,8.46E-14,6.42E-14,PENK/COL1A2/IGF1/MDK/OSR2/MMP2/COL1A1/OMD/CITED1/EGFR/JUNB/DDR2/KLF10/SFRP1/SMAD5/ANO6/SNAI2/SPARC/CHSY1/RRBP1/PTCH1/PTN/VCAN/SP3/RASSF2/COL6A1/CREB3L1/IGFBP5/BMPR2/HGF/BCAP29/CLIC1/GPNMB/SOX9/CTSK/FOXC1/RBPJ/TGFB3/PKDCC/EXT2/FBL/OSR1/WWTR1/SMOC1/THRA/ADAR/TOB2/CLEC3B/PRKACA/MRC2/NIPBL/HNRNPU/MMP14/BMPR1A/MGP/ECM1/ATF4/JUND/YAP1/SORT1/SNRNP200/CDH11/TWSG1/LTBP3/DHX9/PTPN11/DHX36,67
iNOA_S,GO:0005788,endoplasmic reticulum lumen,54/995,313/19550,2.29E-15,6.75E-13,5.74E-13,PENK/COL15A1/COL1A2/COL6A2/F8/LGALS1/IGFBP7/FN1/COL1A1/COL6A3/COL3A1/CST3/FKBP7/SELENOM/ERAP2/VCAN/TIMP1/COL6A1/APP/IGFBP5/LAMB2/TXNDC16/COL14A1/COL5A1/F10/ESD/H6PD/LAMC1/RCN1/ERAP1/CKAP4/SERPINH1/SPARCL1/APOA1/GPX8/MXRA8/FUCA2/COL12A1/ADAMTS5/SERPING1/FBN1/COL4A5/CALU/MFGE8/CTSC/APLP2/SHISA5/PDIA5/CRTAP/CANX/PTPRN2/UGGT1/SELENOF/HSP90B1,54
iNOA_S,GO:0030198,extracellular matrix organization,50/958,301/18723,1.38E-13,2.74E-10,2.08E-10,PDGFRA/COL15A1/COL1A2/CYP1B1/FLRT2/CRISPLD2/MMP2/LUM/DPT/COL1A1/LRP1/COL3A1/DDR2/ANXA2/CST3/ADAMTSL3/MYH11/FBLN5/APP/NID1/ADAMTS1/CREB3L1/LAMB2/COL14A1/COL5A1/CCDC80/ENG/SOX9/CTSK/FOXC1/LAMC1/SERPINH1/EFEMP2/OLFML2B/SMOC1/VIT/COL12A1/ADAMTS5/ITGB1/COL4A5/RAMP2/SH3PXD2B/MMP14/EMILIN1/CRTAP/ECM2/ADAMTS3/LTBP3/CAV1/AEBP1,50
iNOA_S,GO:0043062,extracellular structure organization,50/958,302/18723,1.58E-13,2.74E-10,2.08E-10,PDGFRA/COL15A1/COL1A2/CYP1B1/FLRT2/CRISPLD2/MMP2/LUM/DPT/COL1A1/LRP1/COL3A1/DDR2/ANXA2/CST3/ADAMTSL3/MYH11/FBLN5/APP/NID1/ADAMTS1/CREB3L1/LAMB2/COL14A1/COL5A1/CCDC80/ENG/SOX9/CTSK/FOXC1/LAMC1/SERPINH1/EFEMP2/OLFML2B/SMOC1/VIT/COL12A1/ADAMTS5/ITGB1/COL4A5/RAMP2/SH3PXD2B/MMP14/EMILIN1/CRTAP/ECM2/ADAMTS3/LTBP3/CAV1/AEBP1,50
iNOA_S,GO:0045229,external encapsulating structure organization,50/958,304/18723,2.05E-13,2.74E-10,2.08E-10,PDGFRA/COL15A1/COL1A2/CYP1B1/FLRT2/CRISPLD2/MMP2/LUM/DPT/COL1A1/LRP1/COL3A1/DDR2/ANXA2/CST3/ADAMTSL3/MYH11/FBLN5/APP/NID1/ADAMTS1/CREB3L1/LAMB2/COL14A1/COL5A1/CCDC80/ENG/SOX9/CTSK/FOXC1/LAMC1/SERPINH1/EFEMP2/OLFML2B/SMOC1/VIT/COL12A1/ADAMTS5/ITGB1/COL4A5/RAMP2/SH3PXD2B/MMP14/EMILIN1/CRTAP/ECM2/ADAMTS3/LTBP3/CAV1/AEBP1,50
iNOA_S,GO:0005201,extracellular matrix structural constituent,36/970,172/18368,8.66E-13,7.84E-10,7.03E-10,DCN/COL15A1/OGN/COL1A2/LTBP4/COL6A2/CILP/PCOLCE/IGFBP7/FN1/LUM/DPT/COL1A1/LAMA4/COL6A3/COL3A1/SPARC/FBLN5/VCAN/LAMA2/COL6A1/NID1/LAMB2/COL14A1/COL5A1/LAMC1/EFEMP2/COL12A1/FBN1/COL4A5/MFGE8/MGP/PODN/ECM1/EMILIN1/AEBP1,36
iNOA_S,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,52/958,355/18723,6.84E-12,7.33E-09,5.56E-09,HSPA1A/INHBA/COL1A2/FGF10/FOS/LTBP4/SPTBN1/VIM/EGR1/CILP/SFRP4/JUN/TGFBR3/CITED1/LRP1/COL3A1/SFRP1/SMAD5/PDCD4/SPRY1/NOTCH2/SORL1/BMPR2/RBPMS/HES1/ZEB2/NBL1/ENG/ITGB8/NEO1/PEG10/RBPJ/XIAP/TGFB3/WWTR1/IL17RD/FBN1/GLG1/CREBBP/SPRED1/PPM1L/BMPR1A/FUT8/CTDSPL2/EMILIN1/TGFBR2/ZMIZ1/TWSG1/LTBP3/TMEM100/CAV1/ZNF423,52
iNOA_S,GO:0061448,connective tissue development,41/958,252/18723,4.36E-11,3.89E-08,2.96E-08,MDK/PRRX1/EGR1/OSR2/LUM/COL1A1/PDGFRB/UBB/SMAD5/SELENOM/SNAI2/CHSY1/TIMP1/SORL1/NFIB/BMPR2/COL5A1/SOX9/CTSK/ITGB8/PKDCC/CD34/SERPINH1/OSR1/MAF/TRIP11/CREB3L2/ARID5B/THRA/GLG1/TRPS1/TSKU/XBP1/SH3PXD2B/BMPR1A/MGP/ECM1/TGFBR2/GHR/LTBP3/PTPN11,41
iNOA_S,GO:0045121,membrane raft,47/995,335/19550,2.70E-10,3.99E-08,3.38E-08,PLPP3/BST2/AHNAK/EMP2/PRNP/TUBA1A/TFPI/EGFR/ANXA2/TUBB/PTCH1/CNTN1/APP/BMPR2/MME/DLC1/EDNRB/STOM/SERPINH1/MYADM/GNAI2/CAVIN1/ANK2/ITGB1/ATP1A2/EHD2/PRKACA/EEF2/ATP2B4/DMD/AKAP6/SPRED1/BMPR1A/PTGIS/CAPN2/THY1/PLSCR1/LAMP2/CLIP3/ATP1B1/EFNB1/TGFBR2/RAP2B/HMOX1/CAV1/DLG1/PTPN11,47
iNOA_S,GO:0098857,membrane microdomain,47/995,335/19550,2.70E-10,3.99E-08,3.38E-08,PLPP3/BST2/AHNAK/EMP2/PRNP/TUBA1A/TFPI/EGFR/ANXA2/TUBB/PTCH1/CNTN1/APP/BMPR2/MME/DLC1/EDNRB/STOM/SERPINH1/MYADM/GNAI2/CAVIN1/ANK2/ITGB1/ATP1A2/EHD2/PRKACA/EEF2/ATP2B4/DMD/AKAP6/SPRED1/BMPR1A/PTGIS/CAPN2/THY1/PLSCR1/LAMP2/CLIP3/ATP1B1/EFNB1/TGFBR2/RAP2B/HMOX1/CAV1/DLG1/PTPN11,47
iNOA_S,GO:0060537,muscle tissue development,54/958,403/18723,8.73E-11,6.68E-08,5.07E-08,DCN/PDGFRA/FOS/IGF1/EGR1/PI16/ID2/TGFBR3/NR2F2/PDGFRB/VAMP5/SVIL/SMAD5/MYH11/PTCH1/NOTCH2/RGS2/HLF/NR1D2/IGFBP5/PTEN/ENG/SOX9/FOXC1/CDC42/RBPJ/OSR1/EFEMP2/AKAP13/ITGB1/DDX17/CSRP1/YY1/HNRNPU/EEF2/DMD/AKAP6/CFL2/SGCD/BMPR1A/COPS2/ZFPM2/PRMT1/SAV1/YAP1/LY6E/SOX15/TGFBR2/HOXD9/MEF2A/CAV1/DLG1/MSC/G6PD,54
iNOA_S,GO:0019838,growth factor binding,29/970,141/18368,2.23E-10,6.95E-08,6.23E-08,PDGFRA/COL1A2/LTBP4/IGFBP7/TGFBR3/COL1A1/PDGFRB/IGFBP6/COL3A1/LIFR/EGFR/NTRK2/NRP1/PTN/COL6A1/IGFBP5/BMPR2/COL5A1/ITGAV/ENG/FGFR1/TGFB3/GLG1/TSKU/SORT1/TGFBR2/TWSG1/GHR/LTBP3,29
iNOA_S,GO:0005518,collagen binding,20/970,69/18368,2.30E-10,6.95E-08,6.23E-08,DCN/COL6A2/PCOLCE/FN1/LUM/DDR2/SPARC/COL6A1/NID1/COL14A1/CTSK/SERPINH1/SPARCL1/ITGB1/MUSK/MRC2/PODN/CRTAP/ECM2/AEBP1,20
iNOA_S,GO:0005539,glycosaminoglycan binding,38/970,230/18368,3.47E-10,7.85E-08,7.04E-08,SERPINE2/DCN/FGF10/LTBP4/MDK/PCOLCE/CRISPLD2/FN1/PRNP/TGFBR3/CFH/LAYN/RSPO3/SFRP1/PPIA/NRP1/PTCH1/PTN/VCAN/APP/ADAMTS1/COL5A1/CCDC80/GPNMB/ENG/FGFR1/FGF7/EFEMP2/SMOC1/VIT/ADAMTS5/FBN1/CLEC3B/ZNF146/APLP2/TGFBR2/ECM2/ADAMTS3,38
,,,,,,,,,
iNOA_B,GO:0062023,collagen-containing extracellular matrix,19/97,425/19550,2.53E-13,5.56E-11,4.26E-11,AEBP1/COL14A1/IGFBP7/OGN/LGALS1/SPARCL1/VCAN/TIMP2/FN1/SMOC1/COL15A1/ITIH5/CLEC3B/COL1A2/COL6A2/A2M/LTBP1/LAMA2/LAMC3,19
iNOA_B,GO:0043292,contractile fiber,13/97,239/19550,1.85E-10,2.03E-08,1.56E-08,MYH11/ACTA2/SVIL/TPM2/NEXN/TPM1/SPTBN1/SQSTM1/DMD/CALD1/MYOZ3/PALLD/AHNAK,13
iNOA_B,GO:0003779,actin binding,16/93,441/18368,6.52E-10,1.30E-07,1.06E-07,MYH11/MYLK/ITGB1/SVIL/TPM2/NEXN/TMSB4X/TPM1/SPTBN1/DMD/CALD1/MACF1/ABLIM1/MYOZ3/PALLD/TNS1,16
iNOA_B,GO:0005201,extracellular matrix structural constituent,11/93,172/18368,1.10E-09,1.30E-07,1.06E-07,AEBP1/COL14A1/IGFBP7/OGN/VCAN/FN1/COL15A1/COL1A2/COL6A2/LTBP1/LAMA2,11
iNOA_B,GO:0030016,myofibril,11/97,231/19550,2.01E-08,1.48E-06,1.13E-06,SVIL/TPM2/NEXN/TPM1/SPTBN1/SQSTM1/DMD/CALD1/MYOZ3/PALLD/AHNAK,11
iNOA_B,GO:0030198,extracellular matrix organization,11/92,301/18723,2.61E-07,0.000186137,0.00014895,MYH11/AEBP1/COL14A1/ITGB1/LRP1/PDGFRA/SMOC1/COL15A1/COL1A2/CYP1B1/CRISPLD2,11
iNOA_B,GO:0043062,extracellular structure organization,11/92,302/18723,2.70E-07,0.000186137,0.00014895,MYH11/AEBP1/COL14A1/ITGB1/LRP1/PDGFRA/SMOC1/COL15A1/COL1A2/CYP1B1/CRISPLD2,11
iNOA_B,GO:0045229,external encapsulating structure organization,11/92,304/18723,2.89E-07,0.000186137,0.00014895,MYH11/AEBP1/COL14A1/ITGB1/LRP1/PDGFRA/SMOC1/COL15A1/COL1A2/CYP1B1/CRISPLD2,11
iNOA_B,GO:0060537,muscle tissue development,12/92,403/18723,6.46E-07,0.000312264,0.000249879,MYH11/MYLK/IGF2/ITGB1/SVIL/TPM1/DMD/PDGFRA/PTCH1/EGR1/MYOCD/PDGFRB,12
iNOA_B,GO:0031252,cell leading edge,12/97,422/19550,1.19E-06,6.56E-05,5.02E-05,ACTA2/MYLK/ITGB1/INSR/TPM1/SPTBN1/DPYSL3/MACF1/ABLIM1/FAT1/PALLD/LAYN,12
iNOA_B,GO:0005518,collagen binding,6/93,69/18368,1.33E-06,9.09E-05,7.41E-05,AEBP1/COL14A1/ITGB1/SPARCL1/FN1/COL6A2,6
iNOA_B,GO:0051015,actin filament binding,9/93,217/18368,1.55E-06,9.09E-05,7.41E-05,MYH11/SVIL/TPM2/NEXN/TPM1/SPTBN1/DMD/MACF1/ABLIM1,9
