rank_in_group,panel_stage,group,Description,pathway_readable,NES,pvalue,p.adjust,neglog10_fdr,setSize,enrichmentScore,rank
1,ST1,AZFc_Del,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,4.890775342,0.000125612,0.000475364,3.32297371,231,0.324931155,6222
2,ST1,AZFc_Del,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,3.930704999,0.000128452,0.000475364,3.32297371,195,0.279990868,10038
3,ST1,AZFc_Del,KEGG_FOCAL_ADHESION,Focal Adhesion,4.404432957,0.000128684,0.000475364,3.32297371,191,0.315913102,7283
4,ST1,AZFc_Del,KEGG_ENDOCYTOSIS,Endocytosis,5.015573704,0.000131113,0.000475364,3.32297371,173,0.374644476,7169
5,ST1,AZFc_Del,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,3.57135149,0.000134192,0.000475364,3.32297371,153,0.280996591,5814
6,ST1,AZFc_Del,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,4.079563029,0.000137306,0.000475364,3.32297371,135,0.339440815,6124
7,ST1,AZFc_Del,KEGG_SPLICEOSOME,Spliceosome,5.378754136,0.000138083,0.000475364,3.32297371,126,0.460155899,6070
8,ST1,AZFc_Del,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,4.624753979,0.000139043,0.000475364,3.32297371,124,0.399014903,7543
9,ST1,AZFc_Del,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,4.752912602,0.000139179,0.000475364,3.32297371,123,0.411047688,4889
10,ST1,AZFc_Del,KEGG_TIGHT_JUNCTION,Tight Junction,3.038199503,0.000139276,0.000475364,3.32297371,120,0.265261706,7744
1,ST1,iNOA_B,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,3.795691907,0.000134445,0.002248447,2.64811735,231,0.238036735,6765
2,ST1,iNOA_B,KEGG_ENDOCYTOSIS,Endocytosis,2.904630205,0.000140489,0.002248447,2.64811735,173,0.206972834,3872
3,ST1,iNOA_B,KEGG_SPLICEOSOME,Spliceosome,3.682834024,0.000147536,0.002248447,2.64811735,126,0.300868787,4957
4,ST1,iNOA_B,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,T Cell Receptor Signaling Pathway,2.768937068,0.000151446,0.002248447,2.64811735,98,0.252966082,5974
5,ST1,iNOA_B,KEGG_RNA_DEGRADATION,Rna Degradation,2.452793351,0.000159923,0.002248447,2.64811735,56,0.29045644,4707
6,ST1,iNOA_B,KEGG_PROPANOATE_METABOLISM,Propanoate Metabolism,-2.778879622,0.000245339,0.002248447,2.64811735,32,-0.401187286,7433
7,ST1,iNOA_B,KEGG_PYRUVATE_METABOLISM,Pyruvate Metabolism,-2.738392451,0.000253421,0.002248447,2.64811735,38,-0.364302007,7433
8,ST1,iNOA_B,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Amino Sugar And Nucleotide Sugar Metabolism,-3.125626899,0.000255558,0.002248447,2.64811735,39,-0.410749448,4689
9,ST1,iNOA_B,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,Glycolysis Gluconeogenesis,-3.081336117,0.000263158,0.002248447,2.64811735,54,-0.345786853,5252
10,ST1,iNOA_B,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,2.397459014,0.000296165,0.002248447,2.64811735,124,0.197121808,5666
1,ST1,iNOA_S,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,5.348188323,0.000134862,0.000917659,3.03731867,231,0.336679227,7693
2,ST1,iNOA_S,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,3.712450421,0.000138217,0.000917659,3.03731867,195,0.250298371,4353
3,ST1,iNOA_S,KEGG_FOCAL_ADHESION,Focal Adhesion,4.097353142,0.000138735,0.000917659,3.03731867,191,0.278842443,7162
4,ST1,iNOA_S,KEGG_ENDOCYTOSIS,Endocytosis,5.0208019,0.000140905,0.000917659,3.03731867,173,0.357885014,7475
5,ST1,iNOA_S,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,3.237833631,0.000142674,0.000917659,3.03731867,153,0.243472883,3479
6,ST1,iNOA_S,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,3.626389346,0.000146007,0.000917659,3.03731867,135,0.289095336,7013
7,ST1,iNOA_S,KEGG_SPLICEOSOME,Spliceosome,6.216750421,0.000146714,0.000917659,3.03731867,126,0.512260011,5126
8,ST1,iNOA_S,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,3.693321281,0.000147645,0.000917659,3.03731867,124,0.307262343,5787
9,ST1,iNOA_S,KEGG_TIGHT_JUNCTION,Tight Junction,3.054147414,0.000148082,0.000917659,3.03731867,120,0.256976305,5767
1,ST1,KS,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,4.053826935,0.000106929,0.000626992,3.20273800,231,0.319320906,7358
2,ST1,KS,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,3.055654881,0.000108814,0.000626992,3.20273800,195,0.253767198,6454
3,ST1,KS,KEGG_FOCAL_ADHESION,Focal Adhesion,3.671041595,0.000109254,0.000626992,3.20273800,191,0.307334207,4842
4,ST1,KS,KEGG_ENDOCYTOSIS,Endocytosis,3.828697996,0.000110497,0.000626992,3.20273800,173,0.331679244,8284
5,ST1,KS,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,2.688792673,0.000112133,0.000626992,3.20273800,153,0.242838879,6546
