panel_stage,group,Description,pathway_readable,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,neglog10_fdr
ST3,iNOA_S,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,124,0.340410379,3.242167011,0.00010755,0.000466034,0.000154486,5720,"tags=47%, list=22%, signal=37%",3.33158240
ST3,iNOA_S,KEGG_PARKINSONS_DISEASE,Parkinsons Disease,123,0.593077463,5.631390569,0.000107759,0.000466034,0.000154486,3839,"tags=59%, list=15%, signal=50%",3.33158240
ST3,iNOA_S,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,123,0.587583101,5.579220492,0.000107759,0.000466034,0.000154486,3839,"tags=59%, list=15%, signal=51%",3.33158240
ST3,iNOA_S,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,T Cell Receptor Signaling Pathway,98,0.287853234,2.551765911,0.000110436,0.000466034,0.000154486,4025,"tags=37%, list=16%, signal=31%",3.33158240
ST3,KS,KEGG_ENDOCYTOSIS,Endocytosis,173,0.287161812,2.838619136,0.000102354,0.001196932,0.000515109,8165,"tags=51%, list=32%, signal=35%",2.92193052
ST3,KS,KEGG_SPLICEOSOME,Spliceosome,126,0.480977677,4.364210052,0.00010446,0.001196932,0.000515109,7012,"tags=63%, list=27%, signal=46%",2.92193052
ST3,KS,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,123,0.544706447,4.901788347,0.000104932,0.001196932,0.000515109,4307,"tags=56%, list=17%, signal=47%",2.92193052
ST3,KS,KEGG_TIGHT_JUNCTION,Tight Junction,120,0.307049629,2.741807565,0.00010533,0.001196932,0.000515109,6130,"tags=44%, list=24%, signal=34%",2.92193052
ST3,KS,KEGG_PYRIMIDINE_METABOLISM,Pyrimidine Metabolism,93,0.344282198,2.843423676,0.000108003,0.001196932,0.000515109,7266,"tags=53%, list=28%, signal=38%",2.92193052
ST3,KS,KEGG_GAP_JUNCTION,Gap Junction,80,0.395792518,3.117890763,0.000109951,0.001196932,0.000515109,2955,"tags=29%, list=11%, signal=26%",2.92193052
ST3,KS,KEGG_RNA_DEGRADATION,Rna Degradation,56,0.395549576,2.765037648,0.000115487,0.001196932,0.000515109,6849,"tags=55%, list=27%, signal=41%",2.92193052
ST3,KS,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,Glycolysis Gluconeogenesis,54,0.402625935,2.771760891,0.000116387,0.001196932,0.000515109,2474,"tags=31%, list=10%, signal=29%",2.92193052
ST3,KS,KEGG_PROTEASOME,Proteasome,43,0.513786765,3.260450477,0.000120685,0.001196932,0.000515109,2733,"tags=47%, list=11%, signal=42%",2.92193052
ST3,KS,KEGG_BASAL_TRANSCRIPTION_FACTORS,Basal Transcription Factors,32,0.599889292,3.403073314,0.000126072,0.001196932,0.000515109,5736,"tags=75%, list=22%, signal=58%",2.92193052
