rank_in_group,panel_stage,group,Description,pathway_readable,NES,pvalue,p.adjust,neglog10_fdr,setSize,enrichmentScore,rank,pathway_label
5,ST1,AZFc_Del,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,3.57135149,0.000134192,0.000475364,3.32297371,153,0.280996591,5814,Chemokine signaling
5,ST1,iNOA_S,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,3.237833631,0.000142674,0.000917659,3.03731867,153,0.243472883,3479,Chemokine signaling
5,ST1,KS,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,2.688792673,0.000112133,0.000626992,3.202738,153,0.242838879,6546,Chemokine signaling
4,ST1,AZFc_Del,KEGG_ENDOCYTOSIS,Endocytosis,5.015573704,0.000131113,0.000475364,3.32297371,173,0.374644476,7169,Endocytosis
2,ST1,iNOA_B,KEGG_ENDOCYTOSIS,Endocytosis,2.904630205,0.000140489,0.002248447,2.64811735,173,0.206972834,3872,Endocytosis
4,ST1,iNOA_S,KEGG_ENDOCYTOSIS,Endocytosis,5.0208019,0.000140905,0.000917659,3.03731867,173,0.357885014,7475,Endocytosis
4,ST1,KS,KEGG_ENDOCYTOSIS,Endocytosis,3.828697996,0.000110497,0.000626992,3.202738,173,0.331679244,8284,Endocytosis
3,ST1,AZFc_Del,KEGG_FOCAL_ADHESION,Focal Adhesion,4.404432957,0.000128684,0.000475364,3.32297371,191,0.315913102,7283,Focal adhesion
3,ST1,iNOA_S,KEGG_FOCAL_ADHESION,Focal Adhesion,4.097353142,0.000138735,0.000917659,3.03731867,191,0.278842443,7162,Focal adhesion
3,ST1,KS,KEGG_FOCAL_ADHESION,Focal Adhesion,3.671041595,0.000109254,0.000626992,3.202738,191,0.307334207,4842,Focal adhesion
1,ST1,AZFc_Del,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,4.890775342,0.000125612,0.000475364,3.32297371,231,0.324931155,6222,MAPK signaling
1,ST1,iNOA_B,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,3.795691907,0.000134445,0.002248447,2.64811735,231,0.238036735,6765,MAPK signaling
1,ST1,iNOA_S,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,5.348188323,0.000134862,0.000917659,3.03731867,231,0.336679227,7693,MAPK signaling
1,ST1,KS,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,4.053826935,0.000106929,0.000626992,3.202738,231,0.319320906,7358,MAPK signaling
2,ST1,AZFc_Del,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,3.930704999,0.000128452,0.000475364,3.32297371,195,0.279990868,10038,Actin cytoskeleton regulation
2,ST1,iNOA_S,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,3.712450421,0.000138217,0.000917659,3.03731867,195,0.250298371,4353,Actin cytoskeleton regulation
2,ST1,KS,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,3.055654881,0.000108814,0.000626992,3.202738,195,0.253767198,6454,Actin cytoskeleton regulation
