celltype,All samples,Ctrl,iNOA_B,iNOA_S,OA,AZFc_Del,KS
ECs,2774,251,180,546,34,885,878
LCs,11145,205,1097,5367,78,981,3417
Lym,446,24,44,179,7,76,116
Myeloid,4714,447,171,2556,23,1106,411
Myoid,9772,458,197,4212,55,672,4178
SPCs,19464,4816,1928,0,4907,4932,2881
SPGs,4303,557,655,0,1146,1041,904
SSCs,10167,4201,1981,1,1408,1449,1127
STs,12568,728,372,4926,743,5445,354
Spermatids,29454,9664,0,0,9718,5692,4380
