Sample ID,Gene name,Normalised expression value,Percentage
AZFc_Del_1,DLK1,1.3,0.13
AZFc_Del_1,PTPRC,0.931,0.127
AZFc_Del_1,NOTCH3,0.071,0.015
AZFc_Del_1,DDX4,0.459,0.086
AZFc_Del_1,FGFR3,0.108,0.023
AZFc_Del_1,KIT,0.123,0.032
AZFc_Del_1,SYCP3,1.179,0.088
AZFc_Del_1,TEX29,0.032,0.006
AZFc_Del_1,PRM3,0.029,0.007
AZFc_Del_2,VIM,0.167,0.057
AZFc_Del_2,SOX9,0.084,0.035
AZFc_Del_2,VWF,0.025,0.009
AZFc_Del_2,DLK1,0.074,0.022
AZFc_Del_2,PTPRC,0.019,0.009
AZFc_Del_2,NOTCH3,0.004,0.002
AZFc_Del_2,DDX4,3.318,0.683
AZFc_Del_2,FGFR3,0.062,0.016
AZFc_Del_2,KIT,0.112,0.03
AZFc_Del_2,SYCP3,3.956,0.434
AZFc_Del_2,TEX29,1.139,0.222
AZFc_Del_2,PRM3,1.195,0.292
KS_1,VIM,38.288,0.987
KS_1,SOX9,0.051,0.018
KS_1,VWF,1.814,0.151
KS_1,DLK1,4.666,0.33
KS_1,PTPRC,0.341,0.052
KS_1,NOTCH3,1.378,0.315
KS_1,DDX4,0.0,0.0
KS_1,FGFR3,0.0,0.0
KS_1,KIT,0.023,0.007
KS_1,SYCP3,0.002,0.001
KS_1,TEX29,0.002,0.001
KS_1,PRM3,0.0,0.0
KS_2,VIM,2.418,0.331
KS_2,SOX9,0.227,0.084
KS_2,VWF,0.249,0.07
KS_2,DLK1,0.484,0.176
KS_2,PTPRC,0.037,0.02
KS_2,NOTCH3,0.051,0.023
KS_2,DDX4,2.738,0.758
KS_2,FGFR3,0.225,0.108
KS_2,KIT,0.171,0.084
KS_2,SYCP3,3.47,0.494
KS_2,TEX29,1.362,0.34
KS_2,PRM3,1.194,0.4
AZFc_Del_3,VIM,4.01,0.496
AZFc_Del_3,SOX9,0.706,0.229
AZFc_Del_3,VWF,0.201,0.062
AZFc_Del_3,DLK1,0.787,0.228
AZFc_Del_3,PTPRC,0.273,0.075
AZFc_Del_3,NOTCH3,0.029,0.017
AZFc_Del_3,DDX4,2.53,0.662
AZFc_Del_3,FGFR3,0.216,0.102
AZFc_Del_3,KIT,0.183,0.09
AZFc_Del_3,SYCP3,5.866,0.59
AZFc_Del_3,TEX29,0.477,0.131
AZFc_Del_3,PRM3,0.507,0.193
