pathway,gene,ctrl,disease,log2fc
Oxidative phosphorylation,COX6B1,1.314769368217517,1.6590838098941996,0.33557678955851705
Oxidative phosphorylation,COX6B2,0.6396966538465954,0.7378859916696054,0.20600969057596463
Oxidative phosphorylation,COX6C,3.782007240386836,4.326708961914374,0.1941179072203372
Oxidative phosphorylation,COX7A1,0.01717342224954838,0.0540494904662868,1.6540461420020867
Oxidative phosphorylation,COX7A2,5.602414317983141,5.7752638654443755,0.04383817581140807
Oxidative phosphorylation,COX7A2L,2.046956354893682,1.69091635884024,-0.2756748945932039
Oxidative phosphorylation,COX7B,0.08124765922471194,0.20192042182494177,1.3133780633641257
Oxidative phosphorylation,COX7B2,2.919790028039599,2.902939498401799,-0.008350116538571095
Oxidative phosphorylation,COX7C,3.133889072902192,3.6444740398703126,0.2177564443352814
Oxidative phosphorylation,COX8A,0.3542845049671578,0.5427909872690533,0.6154869826843359
Oxidative phosphorylation,CYC1,0.4560107869799197,0.5610691050242351,0.2991099294667799
Oxidative phosphorylation,CYCS,2.2444158222127135,2.273721070101212,0.018715285080086116
Oxidative phosphorylation,MT-ATP6,6.645846152681487,6.621596729847842,-0.005273745070451771
Oxidative phosphorylation,MT-ATP8,3.1685734986226923,3.1883734629798757,0.008987142396397856
Oxidative phosphorylation,MT-CO1,8.433347868545804,7.86018441567365,-0.1015422917591938
Oxidative phosphorylation,MT-CO2,6.6169267238379454,6.480509025278104,-0.030054161488083507
Oxidative phosphorylation,MT-CO3,8.297567994208817,7.890021682428633,-0.07265927260986023
Oxidative phosphorylation,MT-CYB,6.665644006877304,5.998859846371823,-0.15205591952920475
Oxidative phosphorylation,MT-ND1,5.588888898354299,5.853966293942334,0.06685293139069873
Oxidative phosphorylation,MT-ND2,6.672788240368044,6.219696560919392,-0.10144550758081694
Oxidative phosphorylation,MT-ND3,4.970939565463213,5.35575624990701,0.10757171793520084
Oxidative phosphorylation,MT-ND4,7.797439015308152,7.270616974651019,-0.10092255627345405
Oxidative phosphorylation,MT-ND4L,4.695300774110494,4.794900354102728,0.030283249825599105
Oxidative phosphorylation,MT-ND5,6.153762234779716,5.592031294435632,-0.1380962448226958
Oxidative phosphorylation,MT-ND6,4.924090491287441,2.879351016036475,-0.7741133910390859
Oxidative phosphorylation,NDUFA1,0.30262919877809386,0.7136904345979813,1.2377445000248628
Oxidative phosphorylation,NDUFA10,1.141409429028866,1.307198482968996,0.19566166792986858
Oxidative phosphorylation,NDUFA11,0.9114185520063254,0.9878158658383874,0.1161282813297114
Oxidative phosphorylation,NDUFA12,2.193564143294499,2.132422123185453,-0.04078382003775986
Oxidative phosphorylation,NDUFA13,1.152036879942872,1.0492669309682974,-0.1348050368575535
Oxidative phosphorylation,NDUFA2,1.2300421906224612,1.8350088543504468,0.5770788366940651
Oxidative phosphorylation,NDUFA3,1.8668445616627576,2.4049084747128004,0.36538000646074287
Oxidative phosphorylation,NDUFA4,1.1313237425190787,1.4664212347347072,0.3742874571567427
Oxidative phosphorylation,NDUFA5,1.1782636476906907,1.3045470920208466,0.14688651348561887
Oxidative phosphorylation,NDUFA6,2.1994435186545487,2.148901688990299,-0.03353905631485816
Oxidative phosphorylation,NDUFA7,0.17018404721028835,0.2911490941464176,0.7746588006873169
Oxidative phosphorylation,NDUFA8,2.0136088960377547,2.17294217403884,0.1098662343527349
Oxidative phosphorylation,NDUFA9,0.3866899859370006,0.34129115769769347,-0.18017387030063764
Oxidative phosphorylation,NDUFB1,1.0801806292327631,1.4673514164987562,0.44194148958375595
Oxidative phosphorylation,NDUFB10,1.3742630686076829,1.7987585717872558,0.38834311543749167
Oxidative phosphorylation,NDUFB11,0.09930175598242412,0.1574344487815213,0.6648547572640796
Oxidative phosphorylation,NDUFB2,1.1425967814873714,1.2975623966779788,0.18348739401743439
Oxidative phosphorylation,NDUFB3,2.06352880858047,2.503185663833496,0.2786515986515435
Oxidative phosphorylation,NDUFB4,3.0784066086637467,3.5909478700795905,0.2221808412335903
Oxidative phosphorylation,NDUFB5,2.319579040870975,2.1980335803911975,-0.07764954603656037
Oxidative phosphorylation,NDUFB6,2.0166085245601737,2.279554893354528,0.17682102123498894
Oxidative phosphorylation,NDUFB7,1.1141282684421123,1.470983025364597,0.4008649461105148
Oxidative phosphorylation,NDUFB8,0.9076109462117132,1.0610606664946252,0.22536100149409063
