Gene,CTRL,Disease
A1BG,0.0,0.00020035664458741627
A1BG-AS1,0.0,0.0013712902760622447
A1CF,0.005223307731379472,0.0004750574857795525
A2M,0.12046949204244964,0.12162419901363564
A2M-AS1,0.005390628226752248,0.001485444754234588
A2ML1,0.0012470736763210855,0.004772413045681505
A2ML1-AS1,0.0,0.005692193670710806
A2ML1-AS2,0.0028690442080864403,0.0005793370786156915
A2MP1,0.009936561307503243,0.001663573517755743
A4GALT,0.000751301077525939,0.006911567219535254
A4GNT,0.0,0.00041460960360840846
AAAS,0.4462845509369312,0.5075458215029656
AACS,0.19978316614019206,0.26496177179421365
AACSP1,0.058600200657990646,0.06811687240662474
AADAC,0.006975501035881587,0.0007879347790524261
AADACL2,0.02158420304167924,0.0003153784949243885
AADACL2-AS1,0.08706582337181047,0.08305353004472597
AADACL3,0.0,0.00024138481358111053
AADACL4,0.016347102330587126,0.02191541523493477
AADACP1,0.0015008260944077902,0.0030372184038872595
AADAT,0.019446636166644108,0.0226547991044491
AAED1,0.35849989621666334,0.36701724055567414
AAGAB,0.5692517301115003,0.631034134938853
AAK1,0.37931027396012035,0.3259472089111237
AAMDC,0.23281961965163914,0.7056868932325171
AAMP,0.6040754208159801,0.7409403405656276
AANAT,0.010199603122672657,0.04416504040442299
AAR2,0.4186810644520222,0.4185425221563044
AARD,1.2656313141858728,1.6399845959344448
AARS,0.18696163687689504,0.15531486407674358
AARS2,0.03836403884371921,0.03019599884738648
AARSD1,0.39437322812533115,0.25057865036541765
AASDH,0.27110717919668575,0.20634586579761535
AASDHPPT,0.6500372694907104,0.8264038088596927
AASS,0.007569766688387438,0.049856631600800005
AATBC,0.0069227734221042805,0.006493625134660497
AATF,0.503261566626712,0.6321051886160851
AATK,0.001767884680320782,0.008705979261391408
AB015752.1,0.015706922103495394,0.00562633310926577
ABALON,0.7706799302350482,0.4961998374886085
ABAT,0.020473658038827346,0.040389946620122914
ABBA01000935.2,0.0,0.0
ABCA1,0.021700923832116546,0.018835172180542425
ABCA10,0.2980994418963949,0.47380539851125925
ABCA11P,0.03559192089459446,0.037178622147064036
ABCA12,0.03913656270831938,0.008955422922418828
ABCA13,0.029364971983627534,0.020650653963546168
ABCA17P,1.5973389433312941,2.073456985726249
ABCA2,0.006488069067480498,0.007015954633405823
ABCA3,0.023848005026150844,0.032934304143496344
ABCA4,0.006898150192733671,0.0015526647984745916
ABCA5,1.5588749795011938,1.1661368214702195
ABCA6,0.051026801697495155,0.05365592265193824
ABCA7,0.003636577267563874,0.009298580691696864
ABCA8,0.013217797819776786,0.02648119654215788
ABCA9,0.05113430165455965,0.0665461759155563
ABCA9-AS1,0.003278932206604848,0.000523730804650967
ABCB1,0.01859663743066376,0.0053896946705871895
ABCB10,0.04557715157761436,0.04721808170983495
ABCB10P1,0.0018769408735331819,0.0018230604255625922
ABCB10P3,0.0,0.0004133010619844625
ABCB10P4,0.0009813766646251823,0.0012062149456795355
ABCB11,0.003269882179777367,0.005730665087587237
ABCB4,0.1215387241259873,0.043482674876175645
ABCB5,0.0010963778613500214,0.006186009906441244
ABCB6,0.001134244396511777,0.0009191087963109104
ABCB7,0.0252193314790829,0.033349391018933465
ABCB8,0.10483258657224488,0.1214843587699529
ABCB9,0.06545223424009507,0.11583147181137485
ABCC1,0.13326513998347073,0.11438895310415796
ABCC10,0.014787136824613162,0.017769700026204868
ABCC11,0.2134048314790445,0.19556347202911378
ABCC12,0.36107165458827206,0.21877558310629006
ABCC13,0.0,0.0003958123872418803
ABCC2,0.018332962184484644,0.01798669432876144
ABCC3,0.0026497265707252364,0.009199074307931848
ABCC4,0.021389057758136695,0.011135258927652063
ABCC5,0.02490313806789036,0.0401189717174715
ABCC5-AS1,0.0,0.0
ABCC6,0.00825003560730796,0.0037205006618625806
ABCC6P1,0.001389388685637324,0.0004726489462707419
ABCC6P2,0.0,0.0
ABCC8,0.0011172306479556888,0.004138302572077063
ABCC9,0.0010963778613500214,0.0054055779603929275
ABCD1,0.004946423331929462,0.0104951187992909
ABCD2,0.007864581931545251,0.005501823786063709
ABCD3,0.08823929447885864,0.1097301790259594
ABCD4,0.18884868116387346,0.2217302549780006
ABCE1,0.7003378698436531,0.574869579426784
ABCF1,1.72200577964168,1.360509202690892
ABCF2,0.27211069432151225,0.024313271824059318
ABCF2-2,0.212846629179904,0.2874349796723281
ABCF3,0.18862717274207338,0.25631968445081144
ABCG1,0.0046619928091615566,0.0030160380095673456
ABCG2,0.004737943546471196,0.010707449885235674
ABCG4,0.07245798436610834,0.06551559034880257
ABCG5,0.005216878426881055,0.004525314557944595
ABCG8,0.0011471465426055997,0.0
ABHD1,0.36583883162583,0.5831835592788299
ABHD10,0.4988130167571646,0.4530096197008777
ABHD11,0.03801798662120963,0.03956802932364606
ABHD11-AS1,0.0,0.0
ABHD12,0.14066445562564947,0.14129187188377865
ABHD12B,0.0,0.00346134504975963
ABHD13,0.13041016327992222,0.13078120083872205
ABHD14A,0.09756885822227543,0.12472127799324621
ABHD14B,0.0014898382068875774,0.004409705393507365
ABHD15,0.023432238726422205,0.02685419403484175
ABHD15-AS1,0.018237438110965624,0.0
ABHD16A,0.015455670094647616,0.018662545024786762
ABHD16B,0.0,0.0042459500433537824
ABHD17A,0.050262223466326604,0.2153151243208515
ABHD17AP3,0.0,0.0025125002867998434
ABHD17AP4,0.0,0.0
ABHD17AP5,0.0,0.0
ABHD17AP6,0.002353661893622091,0.00252434182732291
ABHD17B,0.16327048151275497,0.21471966547365987
ABHD17C,0.0,0.01073142804971696
ABHD18,0.1284123515615135,0.12179703111586472
ABHD2,1.1975505449431658,1.1656393406495351
ABHD3,0.01705745412223709,0.03254062909929492
ABHD4,0.012258766070109305,0.025064045108613632
ABHD5,0.5035599549165602,0.4641561172545662
ABHD6,0.0016025562957083614,0.007931399856647118
ABHD8,0.0695735236164845,0.13871902328428432
ABI1,0.18991610614152943,0.30081698607238355
ABI2,0.7165199636714317,0.7398631320745797
ABI3,0.002878465178907014,0.0021119567712983424
ABI3BP,0.005742861589584574,0.019608818719615572
ABL1,0.07179189114545591,0.1013222295099583
ABL2,0.21425829559421838,0.18034512443598266
ABLIM1,0.06127528405073159,0.08065447121600648
ABLIM2,0.0,0.00776689725496398
ABLIM3,0.020662597537785713,0.030146023765992045
ABO,0.002551747043975877,0.006841699564354995
ABR,0.005721218639923639,0.009068493898716645
ABRA,0.03920388561228557,0.04034734625246077
ABRACL,0.013825985305686161,0.044961227570251346
ABRAXAS1,0.40302602950639943,0.6129472056254202
ABRAXAS2,0.1895466991222114,0.16465011112897296
ABT1,0.2302285914625558,0.23048950258950018
ABT1P1,0.003176386490959299,0.0007409470321166097
ABTB1,0.010651807032082954,0.004880183113551071
ABTB2,0.004231845600911291,0.004140041073311119
AC000032.1,0.0,0.00011541425661518096
AC000036.1,0.021931448128249424,0.03559908694483739
AC000061.1,0.0010263665618920376,0.006107934734266744
AC000068.1,0.007585198975082347,0.017279933226448885
AC000068.2,0.0010283113924837094,0.008668320609865327
AC000068.3,0.0,0.0
AC000077.1,0.0,0.002719111828263242
AC000089.1,0.026138893437887462,0.020361240924180436
AC000095.2,0.4144524794019112,0.44670198610322776
AC000099.1,0.008800774912957117,0.008746038951039491
AC000120.1,0.0028842936010101145,0.0
AC000123.1,0.0,0.0013719900316011891
AC000123.2,0.0,0.0019810325529550374
AC000123.3,0.0063243965864849564,0.010513782570873513
